,매장명,구,주소,위도,경도
195,고척사거리점,구로구,"서울 구로구 고척로 228-6 (고척동, 종만빌딩)",37.5057472,126.8582376
196,고척스카이돔점,구로구,"서울 구로구 경인로 397 (고척동, 골든타워빌딩)",37.4985688,126.8617883
197,구로AK점,구로구,서울 구로구 구로동로 240 (구로동),37.4999675,126.8826973
198,구로거리공원점,구로구,서울 구로구 구로중앙로28길 73 (구로동),37.5007554,126.8893254
199,구로고척점,구로구,"서울 구로구 고척로 149 (고척동, 상암빌딩)",37.50308649999999,126.850169
200,구로궁동점,구로구,서울 구로구 오리로 1304 (궁동) 1층,37.5003075,126.8289067
201,구로디지털점,구로구,서울 구로구 디지털로31길 81 (구로동),37.4862927,126.8912288
202,구로미성점,구로구,"서울 구로구 구로중앙로 228 (신도림동, 기임빌딩)",37.5060959,126.87662
203,구로에이스점,구로구,서울 구로구 디지털로33길 11 (구로동),37.4856641,126.8955021
204,구로역광장점,구로구,"서울 구로구 경인로 572 (구로동, 스타팰리스)",37.5034025,126.880915
205,구로이마트점,구로구,서울 구로구 디지털로32길 43 (구로동),37.4843537,126.89788
206,구로중앙점,구로구,서울 구로구 도림로 79 (구로동),37.4900511,126.8920236
207,구로코레일점,구로구,"서울 구로구 구로중앙로 174 (구로동, 구로역)",37.5023699,126.8814842
208,구로항동지구점,구로구,"서울 구로구 항동로3길 6 (항동, 가온 프라자)",37.4793217,126.8223661
209,구일역점,구로구,"서울 구로구 구일로 110 (구로동, 해원리버파크)",37.4950273,126.872004
210,남구로역점,구로구,서울 구로구 디지털로27길 127 (가리봉동),37.4846716,126.8870975
211,동양미래대학점,구로구,서울 구로구 경인로47길 14 (고척동),37.500202,126.8670179
212,메르디앙고척점,구로구,"서울 구로구 중앙로8길 11 (고척동, 고척 월드메르디앙)",37.5028461,126.8632325
213,성공회대점,구로구,서울 구로구 연동로 312 (항동),37.4872294,126.8242853
214,신도림메르디앙점,구로구,"서울 구로구 신도림로 65 (신도림동, 신도림월드메르디앙오피스텔)",37.5095401,126.8820361
215,신도림테크노마트점,구로구,서울 구로구 새말로 97 (구로동),37.5070431,126.8902185
216,오류남부점,구로구,서울 구로구 오류로8길 65 (오류동),37.4926091,126.8437777
217,오류북부역점,구로구,서울 구로구 경인로20길 6 (오류동),37.4970676,126.8406319
218,천왕이펜하우스점,구로구,서울 구로구 천왕로 36 (천왕동),37.48199,126.8363095
219,가산SKV1점,금천구,서울 금천구 가산디지털1로 171 (가산동),37.4806318,126.8805702
220,가산그레이트점,금천구,서울 금천구 디지털로9길 32 (가산동),37.4794491,126.8874768
221,가산대륭19차점,금천구,서울 금천구 가산디지털2로 70 (가산동),37.4746528,126.8822218
222,가산두산위브점,금천구,서울 금천구 가산로 111 (가산동),37.4755779,126.8929078
223,가산리더스타워점,금천구,서울 금천구 벚꽃로 286 (가산동),37.4803075,126.8841943
224,가산벽산점,금천구,서울 금천구 벚꽃로 244 (가산동),37.4767039,126.8857798
225,가산에이스점,금천구,서울 금천구 가산디지털1로 196 (가산동),37.4829154,126.8812688
226,가산오거리점,금천구,"서울 금천구 가산로 155 (가산동, 케이디에스빌딩)",37.4813577,126.880871
227,가산월드점,금천구,서울 금천구 가산디지털2로 123 (가산동),37.4787503,126.8786525
228,가산하이엔드10차점,금천구,"서울 금천구 가산디지털1로 30 (가산동, 에이스하이엔드타워10)",37.4780439,126.8815648
229,금천롯데마트점,금천구,"서울 금천구 시흥대로 291 (독산동, 금천롯데캐슬골드파크3차)",37.4611632,126.8971642
230,독산동쌈지공원점,금천구,서울 금천구 독산로 276 (독산동),37.47131359999999,126.9032798
231,독산동점,금천구,"서울 금천구 독산로 218 (독산동, 창영빌딩)",37.4663108,126.9019986
232,독산롯데시네마점,금천구,서울 금천구 시흥대로 399 (독산동),37.4693273,126.8970414
233,박미삼거리점,금천구,서울 금천구 시흥대로 150 (시흥동),37.47636,126.9007077
234,석수푸르지오점,금천구,"서울 금천구 삼성산길 11 (시흥동, 위너스타워)",37.4340449,126.9048803
235,세광교회점,금천구,서울 금천구 독산로 124 (시흥동),37.4582394,126.9056093
236,시흥대로점,금천구,서울 금천구 시흥대로 476 (독산동),37.4759634,126.8990626
237,시흥동점,금천구,서울 금천구 시흥동,37.4492857,126.9104662
238,시흥사거리점,금천구,서울 금천구 시흥대로63길 8 (시흥동),37.4549924,126.8991565
239,시흥유통센터점,금천구,"서울 금천구 시흥대로 88 (시흥동, 오복빌딩)",37.4418543,126.9039525
240,시흥중앙점,금천구,서울 금천구 금하로 748 (시흥동),37.4498371,126.9125411
241,에이스가산포휴점,금천구,"서울 금천구 가산디지털1로 225 (가산동, 에이스 가산 포휴(지식산업센터))",37.4851258,126.8787246
242,은행나무사거리점,금천구,서울 금천구 금하로 690 (시흥동),37.4517558,126.9066215
243,공릉역점,노원구,서울 노원구 동일로192길 5 (공릉동),37.626035,127.0733753
244,공릉중앙점,노원구,서울 노원구 공릉로 146 (공릉동),37.623043,127.0795195
245,광운대점,노원구,서울 노원구 광운로 29 (월계동),37.6202851,127.0584102
246,노원KT점,노원구,서울 노원구 노해로 494 (상계동),37.6545399,127.0629813
247,노원사거리점,노원구,서울 노원구 동일로 1393 (상계동),37.6529076,127.0605347
248,노원역2호점,노원구,서울 노원구 상계로 64 (상계동),37.6555926,127.0623312
249,노원중앙점,노원구,서울 노원구 노원로 452 (상계동),37.6568057,127.0669206
250,당고개역점,노원구,서울 노원구 상계로 313 (상계동),37.67078619999999,127.0803617
251,마들역점,노원구,서울 노원구 동일로 1541 (상계동),37.66581350000001,127.0569853
252,상계동점,노원구,서울 노원구 한글비석로52길 8 (상계동),37.6648446,127.0664584
253,상계역사거리점,노원구,서울 노원구 한글비석로 409 (상계동) 1~2층,37.6611031,127.0708473
254,상계역점,노원구,서울 노원구 덕릉로 698 (중계동),37.6598008,127.0756283
255,상계중앙점,노원구,서울 노원구 동일로 1650 (상계동),37.6754112,127.0555125
256,서울과학기술대점,노원구,서울 노원구 공릉로 208 (공릉동),37.628258,127.0777683
257,서울여대점,노원구,서울 노원구 노원로 3 (공릉동),37.6218823,127.0865752
258,석계역점,노원구,서울 노원구 석계로3길 3 (월계동),37.6155161,127.0643253
